source_file,constant_key,quantity,value_raw,value_numeric,uncertainty_raw,uncertainty_numeric,unit_raw,selected_for_strong_pipeline,cleaning_note,cleaned_utc
nist_codata_2022_allascii_raw_benchmark_001.txt,,,2022 CODATA adjustment,,,,,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_electron_mass_ratio,alpha particle-electron mass ratio,7294.299 541 71,7294.29954171,0.000 000 17,1.7e-07,,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_mass,alpha particle mass,6.644 657 3450 e-27,6.644657345e-27,0.000 000 0021 e-27,2.1e-36,kg,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_mass_energy_equivalent,alpha particle mass energy equivalent,5.971 920 1997 e-10,5.9719201997e-10,0.000 000 0019 e-10,1.9e-19,J,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_mass_energy_equivalent_in_mev,alpha particle mass energy equivalent in MeV,3727.379 4118,3727.3794118,0.000 0012,1.2e-06,MeV,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_mass_in_u,alpha particle mass in u,4.001 506 179 129,4.001506179129,0.000 000 000 062,6.2e-11,u,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_molar_mass,alpha particle molar mass,4.001 506 1833 e-3,0.0040015061833,0.000 000 0012 e-3,1.2e-12,kg mol^-1,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_proton_mass_ratio,alpha particle-proton mass ratio,3.972 599 690 252,3.972599690252,0.000 000 000 070,7e-11,,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_relative_atomic_mass,alpha particle relative atomic mass,4.001 506 179 129,4.001506179129,0.000 000 000 062,6.2e-11,,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
nist_codata_2022_allascii_raw_benchmark_001.txt,alpha_particle_rms_charge_radius,alpha particle rms charge radius,1.6785 e-15,1.6785e-15,0.0021 e-15,2.1e-18,m,False,NIST CODATA 2022 allascii parsed by two-or-more-space separation.,2026-06-02T17:49:57+00:00
